,sent_id,filename,sentence_nr,token_nr,word,label,POS,lemma,hasPrefix,hasSuffix
0,ba01_0,baskervilles01,0,0,Chapter,O,NN,Chapter,False,False
1,ba01_0,baskervilles01,0,1,1.,O,CD,1.,False,False
2,ba01_0,baskervilles01,0,2,Mr.,O,NNP,Mr.,False,False
3,ba01_0,baskervilles01,0,3,Sherlock,O,NNP,Sherlock,False,False
4,ba01_0,baskervilles01,0,4,Holmes,O,NNP,Holmes,False,False
5,ba01_1,baskervilles01,1,0,Mr.,O,NNP,Mr.,False,False
6,ba01_1,baskervilles01,1,1,Sherlock,O,NNP,Sherlock,False,False
7,ba01_1,baskervilles01,1,2,Holmes,O,NNP,Holmes,False,False
8,ba01_1,baskervilles01,1,3,",",O,",",",",False,False
9,ba01_1,baskervilles01,1,4,who,O,WP,who,False,False
10,ba01_1,baskervilles01,1,5,was,O,VBD,wa,False,False
11,ba01_1,baskervilles01,1,6,usually,O,RB,usually,False,False
12,ba01_1,baskervilles01,1,7,very,O,RB,very,False,False
13,ba01_1,baskervilles01,1,8,late,O,RB,late,False,False
14,ba01_1,baskervilles01,1,9,in,O,IN,in,True,False
15,ba01_1,baskervilles01,1,10,the,O,DT,the,False,False
16,ba01_1,baskervilles01,1,11,mornings,O,NNS,morning,False,False
17,ba01_1,baskervilles01,1,12,",",O,",",",",False,False
18,ba01_1,baskervilles01,1,13,save,B-NEG,VBP,save,False,False
19,ba01_1,baskervilles01,1,14,upon,O,IN,upon,False,False
20,ba01_1,baskervilles01,1,15,those,O,DT,those,False,False
21,ba01_1,baskervilles01,1,16,not,B-NEG,RB,not,False,False
22,ba01_1,baskervilles01,1,17,infrequent,B-NEG,JJ,infrequent,True,False
23,ba01_1,baskervilles01,1,18,occasions,O,NNS,occasion,False,False
24,ba01_1,baskervilles01,1,19,when,O,WRB,when,False,False
25,ba01_1,baskervilles01,1,20,he,O,PRP,he,False,False
26,ba01_1,baskervilles01,1,21,was,O,VBD,wa,False,False
27,ba01_1,baskervilles01,1,22,up,O,RB,up,False,False
28,ba01_1,baskervilles01,1,23,all,O,RB,all,False,False
29,ba01_1,baskervilles01,1,24,night,O,NN,night,False,False
30,ba01_1,baskervilles01,1,25,",",O,",",",",False,False
31,ba01_1,baskervilles01,1,26,was,O,VBD,wa,False,False
32,ba01_1,baskervilles01,1,27,seated,O,VBN,seated,False,False
33,ba01_1,baskervilles01,1,28,at,O,IN,at,False,False
34,ba01_1,baskervilles01,1,29,the,O,DT,the,False,False
35,ba01_1,baskervilles01,1,30,breakfast,O,NN,breakfast,False,False
36,ba01_1,baskervilles01,1,31,table,O,NN,table,False,False
37,ba01_1,baskervilles01,1,32,.,O,.,.,False,False
38,ba01_2,baskervilles01,2,0,I,O,PRP,I,False,False
39,ba01_2,baskervilles01,2,1,stood,O,VBD,stood,False,False
40,ba01_2,baskervilles01,2,2,upon,O,IN,upon,False,False
41,ba01_2,baskervilles01,2,3,the,O,DT,the,False,False
42,ba01_2,baskervilles01,2,4,hearth-rug,O,JJ,hearth-rug,False,False
43,ba01_2,baskervilles01,2,5,and,O,CC,and,False,False
44,ba01_2,baskervilles01,2,6,picked,O,VBD,picked,False,False
45,ba01_2,baskervilles01,2,7,up,O,RP,up,False,False
46,ba01_2,baskervilles01,2,8,the,O,DT,the,False,False
47,ba01_2,baskervilles01,2,9,stick,O,NN,stick,False,False
48,ba01_2,baskervilles01,2,10,which,O,WDT,which,False,False
49,ba01_2,baskervilles01,2,11,our,O,PRP$,our,False,False
50,ba01_2,baskervilles01,2,12,visitor,O,NN,visitor,False,False
51,ba01_2,baskervilles01,2,13,had,O,VBD,had,False,False
52,ba01_2,baskervilles01,2,14,left,O,VBN,left,False,False
53,ba01_2,baskervilles01,2,15,behind,O,IN,behind,False,False
54,ba01_2,baskervilles01,2,16,him,O,PRP,him,False,False
55,ba01_2,baskervilles01,2,17,the,O,DT,the,False,False
56,ba01_2,baskervilles01,2,18,night,O,NN,night,False,False
57,ba01_2,baskervilles01,2,19,before,O,IN,before,False,False
58,ba01_2,baskervilles01,2,20,.,O,.,.,False,False
59,ba01_3,baskervilles01,3,0,It,O,PRP,It,False,False
60,ba01_3,baskervilles01,3,1,was,O,VBD,wa,False,False
61,ba01_3,baskervilles01,3,2,a,O,DT,a,False,False
62,ba01_3,baskervilles01,3,3,fine,O,JJ,fine,False,False
63,ba01_3,baskervilles01,3,4,",",O,",",",",False,False
64,ba01_3,baskervilles01,3,5,thick,O,JJ,thick,False,False
65,ba01_3,baskervilles01,3,6,piece,O,NN,piece,False,False
66,ba01_3,baskervilles01,3,7,of,O,IN,of,False,False
67,ba01_3,baskervilles01,3,8,wood,O,NN,wood,False,False
68,ba01_3,baskervilles01,3,9,",",O,",",",",False,False
69,ba01_3,baskervilles01,3,10,bulbous-headed,O,JJ,bulbous-headed,False,False
70,ba01_3,baskervilles01,3,11,",",O,",",",",False,False
71,ba01_3,baskervilles01,3,12,of,O,IN,of,False,False
72,ba01_3,baskervilles01,3,13,the,O,DT,the,False,False
73,ba01_3,baskervilles01,3,14,sort,O,NN,sort,False,False
74,ba01_3,baskervilles01,3,15,which,O,WDT,which,False,False
75,ba01_3,baskervilles01,3,16,is,O,VBZ,is,False,False
76,ba01_3,baskervilles01,3,17,known,O,VBN,known,False,False
77,ba01_3,baskervilles01,3,18,as,O,IN,a,False,False
78,ba01_3,baskervilles01,3,19,a,O,DT,a,False,False
79,ba01_3,baskervilles01,3,20,``,O,``,``,False,False
80,ba01_3,baskervilles01,3,21,Penang,O,NNP,Penang,False,False
81,ba01_3,baskervilles01,3,22,lawyer,O,NN,lawyer,False,False
82,ba01_3,baskervilles01,3,23,.,O,.,.,False,False
83,ba01_3,baskervilles01,3,24,'',O,'','',False,False
